trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,3,-50.450482509262415,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.92100083879745,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.50986524911127,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-259.8294317497045,"{0: 12, 1: 5, 2: 9, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-13.699385762347768,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.11977239038083,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.7140984331753,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.51665838129821,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.52653242716771,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,8,-148.05371138752153,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 3}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.8269739213209,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.51268468801567,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.93347986237576,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.06189411012602,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.66849688308557,"{0: 11, 1: 6, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-149.10494509597964,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.5756867078983,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.71600847938298,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.199623899841676,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-50.819130646036626,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-94.0704758584632,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-163.63577310395186,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.66120901634191,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-82.75355928186333,"{0: 25, 1: 3, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-82.0422029977603,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.58251349307307,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,5,-202.03126489697712,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.49907041805582,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.66750232406702,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-162.28802065191095,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
